"Contest ID","Region ID","Region Name","Party ID","Party Name","Candidate ID","Candidate Name","Votes"
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/labour-party","Labour Party","http://www.suttonelections.org.uk/candidates/655","Nawaz Ahmad",570
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/liberal-democrats","Liberal Democrats","http://www.suttonelections.org.uk/candidates/698","Pat Ali",1299
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/conservative-party","Conservative Party","http://www.suttonelections.org.uk/candidates/879","Leon Victor Emirali",673
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/labour-party","Labour Party","http://www.suttonelections.org.uk/candidates/653","Sarah Anne Gwynn",654
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/green-party","Green Party","http://www.suttonelections.org.uk/candidates/880","Frederick Basil Hartfield",235
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/green-party","Green Party","http://www.suttonelections.org.uk/candidates/775","Joan Mary Hartfield",257
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/labour-party","Labour Party","http://www.suttonelections.org.uk/candidates/881","Margaret Rose Hughes",600
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/liberal-democrats","Liberal Democrats","http://www.suttonelections.org.uk/candidates/882","Nick Mattey",1290
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/liberal-democrats","Liberal Democrats","http://www.suttonelections.org.uk/candidates/883","Nighat Noormohamed Piracha",1048
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/ukip","UK Independence Party (UKIP)","http://www.suttonelections.org.uk/candidates/779","Leslie Price",779
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/conservative-party","Conservative Party","http://www.suttonelections.org.uk/candidates/884","Anusha Vamadeva",705
"https://en.wikipedia.org/wiki/United_Kingdom_local_elections,_2014","http://www.suttonelections.org.uk/bodies/sutton-council/elections/2014-05-22/wards/beddington-north","Beddington North","http://example.org/uk/conservative-party","Conservative Party","http://www.suttonelections.org.uk/candidates/619","Hilary Vaughan Wortley",776
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,"=",,,,,
